year,local temp,global temp
1750,5.00,8.72
1751,5.62,7.98
1752,-3.22,5.78
1753,4.44,8.39
1754,4.54,8.47
1755,1.16,8.36
1756,4.80,8.85
1757,3.70,9.02
1758,3.14,6.74
1759,3.92,7.99
1760,2.36,7.19
1761,4.98,8.77
1762,4.66,8.61
1763,1.82,7.50
1764,4.24,8.40
1765,3.66,8.25
1766,5.00,8.41
1767,3.24,8.22
1768,3.71,6.78
1769,4.09,7.69
1770,4.10,7.69
1771,4.75,7.85
1772,4.57,8.19
1773,4.99,8.22
1774,4.25,8.77
1775,5.26,9.18
1776,4.32,8.30
1777,3.81,8.26
1778,1.71,8.54
1779,4.87,8.98
1780,7.47,9.43
1781,4.66,8.10
1782,4.07,7.90
1783,3.77,7.68
1784,3.49,7.86
1785,3.48,7.36
1786,3.99,8.26
1787,3.99,8.03
1788,4.69,8.45
1789,4.37,8.33
1790,4.32,7.98
1791,4.29,8.23
1792,3.70,8.09
1793,4.81,8.23
1794,4.81,8.53
1795,4.21,8.35
1796,4.07,8.27
1797,3.86,8.51
1798,4.53,8.67
1799,4.08,8.51
1800,4.67,8.48
1801,5.07,8.59
1802,5.26,8.58
1803,4.87,8.50
1804,4.60,8.84
1805,5.23,8.56
1806,4.23,8.43
1807,4.06,8.28
1808,4.33,7.63
1809,3.56,7.08
1810,4.10,6.92
1811,4.30,6.86
1812,2.57,7.05
1813,3.82,7.74
1814,3.62,7.59
1815,3.22,7.24
1816,2.81,6.94
1817,2.73,6.98
1818,3.30,7.83
1819,3.91,7.37
1820,3.88,7.62
1821,3.76,8.09
1822,4.28,8.19
1823,3.32,7.72
1824,4.10,8.55
1825,5.02,8.39
1826,4.96,8.36
1827,4.25,8.81
1828,5.31,8.17
1829,3.86,7.94
1830,4.67,8.52
1831,4.10,7.64
1832,3.93,7.45
1833,3.96,8.01
1834,4.06,8.15
1835,2.94,7.39
1836,2.65,7.70
1837,2.83,7.38
1838,3.37,7.51
1839,4.19,7.63
1840,4.35,7.80
1841,4.02,7.69
1842,3.88,8.02
1843,3.59,8.17
1844,3.19,7.65
1845,3.55,7.85
1846,4.41,8.55
1847,4.12,8.09
1848,4.20,7.98
1849,3.67,7.98
1850,3.81,7.90
1851,3.67,8.18
1852,3.93,8.10
1853,4.07,8.04
1854,3.78,8.21
1855,4.02,8.11
1856,3.21,8.00
1857,3.86,7.76
1858,3.55,8.10
1859,3.55,8.25
1860,4.10,7.96
1861,4.02,7.85
1862,3.45,7.56
1863,3.81,8.11
1864,4.55,7.98
1865,4.46,8.18
1866,3.85,8.29
1867,3.57,8.44
1868,3.33,8.25
1869,3.76,8.43
1870,5.27,8.20
1871,3.82,8.12
1872,3.80,8.19
1873,3.33,8.35
1874,3.67,8.43
1875,2.22,7.86
1876,3.95,8.08
1877,5.37,8.54
1878,5.67,8.83
1879,3.71,8.17
1880,4.70,8.12
1881,4.95,8.27
1882,4.13,8.13
1883,3.05,7.98
1884,4.15,7.77
1885,3.10,7.92
1886,3.95,7.95
1887,3.60,7.91
1888,3.12,8.09
1889,5.13,8.32
1890,3.67,7.97
1891,5.12,8.02
1892,4.25,8.07
1893,3.52,8.06
1894,4.95,8.16
1895,4.58,8.15
1896,4.16,8.21
1897,4.51,8.29
1898,5.42,8.18
1899,4.81,8.40
1900,4.66,8.50
1901,4.67,8.54
1902,4.62,8.30
1903,4.59,8.22
1904,2.90,8.09
1905,3.83,8.23
1906,4.54,8.38
1907,3.62,7.95
1908,4.65,8.19
1909,4.48,8.18
1910,4.88,8.22
1911,4.81,8.18
1912,3.70,8.17
1913,5.44,8.30
1914,3.60,8.59
1915,5.61,8.59
1916,4.57,8.23
1917,2.87,8.02
1918,4.14,8.13
1919,4.75,8.38
1920,4.65,8.36
1921,5.88,8.57
1922,4.92,8.41
1923,3.88,8.42
1924,4.12,8.51
1925,4.39,8.53
1926,3.26,8.73
1927,5.18,8.52
1928,4.66,8.63
1929,4.39,8.24
1930,5.26,8.63
1931,6.11,8.72
1932,5.27,8.71
1933,4.71,8.34
1934,3.97,8.63
1935,4.14,8.52
1936,4.20,8.55
1937,5.83,8.70
1938,5.39,8.86
1939,4.32,8.76
1940,4.01,8.76
1941,5.15,8.77
1942,5.30,8.73
1943,3.89,8.76
1944,4.97,8.85
1945,5.23,8.58
1946,5.37,8.68
1947,5.03,8.80
1948,5.19,8.75
1949,6.14,8.59
1950,4.98,8.37
1951,5.28,8.63
1952,5.77,8.64
1953,6.63,8.87
1954,4.84,8.56
1955,5.22,8.63
1956,4.46,8.28
1957,5.44,8.73
1958,4.43,8.77
1959,5.18,8.73
1960,5.44,8.58
1961,5.25,8.80
1962,4.38,8.75
1963,4.43,8.86
1964,5.31,8.41
1965,4.54,8.53
1966,5.25,8.60
1967,4.55,8.70
1968,4.62,8.52
1969,5.22,8.60
1970,4.65,8.70
1971,4.67,8.60
1972,3.99,8.50
1973,6.03,8.95
1974,4.55,8.47
1975,5.54,8.74
1976,4.12,8.35
1977,5.19,8.85
1978,4.17,8.69
1979,5.62,8.73
1980,4.36,8.98
1981,5.68,9.17
1982,4.76,8.64
1983,5.77,9.03
1984,5.36,8.69
1985,4.61,8.66
1986,4.81,8.83
1987,5.47,8.99
1988,5.29,9.20
1989,4.25,8.92
1990,6.07,9.23
1991,5.82,9.18
1992,4.41,8.84
1993,4.52,8.87
1994,4.72,9.04
1995,5.47,9.35
1996,5.25,9.04
1997,4.54,9.20
1998,7.00,9.52
1999,6.71,9.29
2000,5.14,9.20
2001,6.46,9.41
2002,6.01,9.57
2003,4.92,9.53
2004,4.91,9.32
2005,5.95,9.70
2006,6.95,9.53
2007,5.25,9.73
2008,5.62,9.43
2009,5.27,9.51
2010,7.11,9.70
2011,6.52,9.52
2012,7.09,9.51
2013,7.86,9.61
